original_module	target_module	mapping_role	preserved_responsibility	public_inputs	public_outputs	owned_state	allowed_target_dependencies	forbidden_direct_dependencies	first_validation	implementation_order	review_status
neutral_contracts	compat	rewrite_only_neutral_contracts	fixed-width values, byte views, host-neutral ports	primitive values	value types and port contracts	no mutable gameplay state		all game modules and SDL3	width, endian and indexed-frame boundary tests	1	implemented_pending_review
modern_diagnostics	diagnostics	modern_crosscutting_adapter	UTC records, levels, source locations, thread ids, file flush and fallback output	log level, message and source location	append-only diagnostic records	log file, mutex and minimum level	compat	model state and platform backend objects	metadata, flush, fallback and concurrent atomicity tests	1	implemented_pending_review
host_runtime	platform_sdl3	split_platform_adapter	window, events, audio device and final indexed upload	host events and compatibility-core requests	normalized host events and backend results	SDL handles and backend resources only	compat;input;time;audio	model;resource;render;ui;world;scene;battle	SDL dummy smoke and event translation tests	1	implemented_pending_review
main_loop	app	split_orchestrator	process lifecycle, synchronous mode dispatch and teardown	platform events, tick samples and module step results	top-level requests and exit result	mode requests, pending IO and session ownership	battle;compat;model;persistence;random;render;resource;scene;ui;world	platform_sdl3;SDL3	fake-port sequence and full runtime chain	1	implemented_pending_review
file_and_archives	resource	direct_with_parser_extraction	data root, raw bytes, packed archives, sprite records and palettes	path and asset identifiers	owned bytes and validated views	file bytes and archive buffers	compat	app;ui;world;scene;battle	full current asset scan	2	implemented_pending_review
keyboard_irq	input	direct	set-1 scan translation, held and edge state	host-neutral keys	translated key states	legacy keyboard memory	compat	app;world;scene;SDL3	full key table and press/release traces	3	implemented_pending_review
bios_clock	time	direct	BIOS tick quantization and waits	monotonic host samples	legacy ticks and delay completion	clock source state	compat	app;world;scene	rollover and boundary vectors	3	implemented_pending_review
crt_random	random	direct	legacy LCG and bounded consumption	seed and bound	random values	LCG state	compat	app;world;scene;battle	known vectors and invalid-bound non-consumption	3	implemented_pending_review
miles_audio	audio	direct_with_backend_split	music/sample state, WAV and XMI/OPL3 transport	resource bytes and playback requests	observable audio commands and playback state	mixer, XMI and voice state	compat;resource	app;world;scene;battle;SDL3	asset decode and command sequence tests	4	implemented_pending_review
ranger_state	model	direct_with_typed_views	RANGER physical records, scene maps/events and snapshot ownership	raw records and typed field requests	lossless mutable snapshot	all persistent game state	compat	app;ui;world;scene;battle	byte round-trip and field offset tests	5	implemented_pending_review
save_transport	persistence	direct_with_snapshot_boundary	baseline/work/save slots and lossless transport	paths and snapshots	load/save results	file transport buffers	compat;model;resource	app;ui;world;scene;battle	byte round-trip and failure paths	6	implemented_pending_review
software_video	render	direct	indexed framebuffer, RGB6 palette, sprites, fonts and effects	asset views and draw commands	pixels and palette	framebuffer and render caches	compat;resource	app;ui;world;scene;battle;SDL3	pixel hashes and clipping vectors	7	implemented_pending_review
legacy_ui	ui	direct	startup, name, attributes, menus and status/item views	input actions and model views	synchronous UI results	modal selection/edit state	compat;model;random;render;resource	app;world;scene;battle;platform_sdl3	state-machine and framebuffer goldens	8	implemented_pending_review
world_map	world	direct	world layers, cache, movement, collision, entrances, idle and weather	model state, input direction and RNG	WorldStepResult and indexed render	world cache and session transients	compat;model;random;render;resource	app;ui;scene;battle;platform_sdl3	fixed movement/RNG/frame traces	9	implemented_pending_review
scene_event	scene	direct	scene layers, event interpreter, TALK, weather and synchronous requests	model state, input/response and RNG	SceneStepResult, audio commands and indexed render	scene session, event PC and queued outputs	compat;model;random;render;resource	app;ui;world;battle;platform_sdl3	KDEF workpack, real scripts and framebuffer traces	10	implemented_pending_review
fight_runtime	battle	direct	FIGHT setup, turns, actions, AI, rendering and result	model state, battle id, input and RNG	battle result and committed state	battle transient state	audio;compat;input;model;random;render;resource;time	app;ui;world;scene;platform_sdl3	a real FIGHT package plus branch vectors	11	pending_implementation
