state_id	address_or_origin	size_bytes	state_kind	owner_module	owner_basis	initialization_or_creation	writer_modules	reader_modules	destruction_or_end	sharing_contract	evidence_status	review_status
ranger_snapshot	RANGER.GRP	physical_six_segments	persistent_physical_state	model	single lossless snapshot owner	baseline/load import	model;persistence;ui;world;scene;battle	app;persistence;ui;world;scene;battle	process or replacement snapshot	borrow typed views; no copied gameplay owners	byte_roundtrip_existing	implemented_pending_review
scene_maps	ALLSIN.GRP	4915200	persistent_scene_layers	model	part of GameSnapshot	baseline/load import	scene	app;persistence;scene	process or replacement snapshot	SceneSession borrows current scene only	asset_shape_existing	implemented_pending_review
scene_events	ALLDEF.GRP	440000	persistent_scene_events	model	part of GameSnapshot	baseline/load import	scene	app;persistence;scene	process or replacement snapshot	SceneSession writes through snapshot	asset_shape_existing	implemented_pending_review
world_cache	EARTH/SURFACE/BUILDING/BUILDX/BUILDY 128x128 window	163840	world_session_transient	world	cache lifecycle is world-only	WorldSession construction/reload	world	world	WorldSession destruction	no cross-module mutable borrow	world_report_existing	implemented_pending_review
world_runtime_position	Z_DAT world globals near 0xC0B88	pending_exact_range	world_session_transient	world	world move/render shared state	WorldSession construction	world	app;world	WorldSession destruction	typed query only	pending_full_range_review	implemented_pending_review
scene_runtime	Z_DAT scene globals 0xC083C/0xC083E/0xC0840	6	scene_session_transient	scene	scene move/render/event shared state	SceneSession construction	scene	app;scene	SceneSession destruction	typed query only	b7_report_existing	implemented_pending_review
event_interpreter	Z_DAT sub_2C319 state and KDEF stream	pending_exact_range	scene_event_transient	scene	event PC and pending output belong to active scene	begin_event	scene	app;scene	event termination or SceneSession destruction	synchronous result/response only	pending_handler_workpack	implemented_pending_review
indexed_framebuffer	modern owned 320x200 index8 + RGB6	64768	render_state	render	only render boundary owns pixels/palette	app construction	render;ui;world;scene;battle	app;platform_sdl3	app destruction	platform receives const frame view	existing_pixel_tests	implemented_pending_review
legacy_keyboard	Z_DAT keyboard translation/state memory	343	input_state	input	IRQ1 translation and state bytes are one owner	LegacyKeyboard construction	input	app;input	process end	app reads typed states only	b4_report_existing	implemented_pending_review
legacy_random	Z_DAT CRT LCG state	4	random_state	random	one consumed sequence per runtime	DOS time seed	random	app;world;scene;battle	process or new runtime	borrow by reference; no copied streams	b4_vectors_existing	implemented_pending_review
audio_runtime	Miles-derived eight-slot state	pending_exact_size	audio_state	audio	audio controller owns playback state	audio initialization	audio	app;scene;battle	shutdown	commands cross boundary, backend types do not	b4_report_existing	implemented_pending_review
app_sessions	modern orchestrator	modern_only	orchestration_state	app	top-level mode and session lifetime owner	LegacyGameRuntime construction	app	platform_sdl3	process end	synchronous module results only	integration_tests_existing	implemented_pending_review
sdl_handles	modern SDL window/renderer/texture/device	modern_only	platform_state	platform_sdl3	platform adapter owns host resources	platform construction	platform_sdl3	platform_sdl3	platform destruction	no gameplay state in platform	platform_smoke_existing	implemented_pending_review
battle_runtime	Z_DAT battle globals	pending_exact_range	battle_transient	battle	B8 owner not established	pending B8	battle	app;battle	battle result	result-only boundary	unverified	pending_implementation
