audit_order	address	name	research_name	function_end	size	closure_status	target_owner	implementation_mapping	evidence	verification	final_review	remaining
1	0x20C32	sub_20C32	blocking_read_key	0x20C45	19	platform_adapted	input	openlegend::input::LegacyKeyboard;openlegend::app::LegacyGameRuntime::handle_key;src/platform/sdl3/main.cpp	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
2	0x20D35	main	main_loop	0x20FAA	629	platform_adapted	app	openlegend::input::LegacyKeyboard::world_direction/consume_world_direction;openlegend::app::LegacyGameRuntime::advance/render/finish_presented_tick;openlegend::world::WorldSession;src/platform/sdl3/main.cpp	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
3	0x3CDFF	sub_3CDFF	keyboard_audio_font_initialize	0x3CF19	282	platform_adapted	app	openlegend::resource::LegacyAssets::load;openlegend::audio::LegacyAudioController;openlegend::platform::sdl3::SdlAudioDevice;src/platform/sdl3/main.cpp	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
4	0x3CF19	sub_3CF19	keyboard_restore	0x3CF45	44	platform_adapted	app	openlegend::resource::LegacyAssets::load;openlegend::audio::LegacyAudioController;openlegend::platform::sdl3::SdlAudioDevice;src/platform/sdl3/main.cpp	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
5	0x3DB83	sub_3DB83	bios_tick_delay	0x3DBBF	60	platform_adapted	time	openlegend::timing::legacy_delay_tick_count;openlegend::timing::legacy_delay	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
6	0x3DD57	sub_3DD57	audio_shutdown	0x3DD66	15	platform_adapted	audio	openlegend::audio::LegacyAudioController;openlegend::audio::LegacyAudioPort	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
7	0x3DD66	sub_3DD66	audio_initialize	0x3DE4D	231	platform_adapted	audio	openlegend::audio::LegacyAudioController;openlegend::audio::LegacyAudioPort	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
8	0x3DE4D	sub_3DE4D	music_start_once_unused	0x3DECB	126	platform_adapted	audio	openlegend::audio::LegacyAudioController;openlegend::audio::LegacyAudioPort	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
9	0x3DECB	sub_3DECB	music_start_looping	0x3DF59	142	platform_adapted	audio	openlegend::audio::LegacyAudioController;openlegend::audio::LegacyAudioPort	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
10	0x3DF59	sub_3DF59	music_end	0x3DF90	55	platform_adapted	audio	openlegend::audio::LegacyAudioController;openlegend::audio::LegacyAudioPort	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
11	0x3DF90	sub_3DF90	sample_start_loaded	0x3E088	248	platform_adapted	audio	openlegend::audio::LegacyAudioController;openlegend::audio::LegacyAudioPort	research/evidence/input-time-random-audio-1to1.md	Linux/Windows core/app Debug/Release plus Linux app ASan+UBSan;independent final bidirectional basic-block review	converged_no_new_differences
